Wav_id,H_MaxP,A_MaxP,H_Max,A_Max,AUO_Left_H_70,AUO_Right_H_50,AUO_Right_H_60,AUO_Right_H_70,AUO_Left_A_70,AUO_Right_A_50,AUO_Right_A_60,AUO_Right_A_70,W_Left_H_70,W_Right_H_50,W_Right_H_60,W_Right_H_70,W_Left_A_70,W_Right_A_50,W_Right_A_60,W_Right_A_70,Mean_beat_highcP,Mean_beat_lowcP,Mean_beat_medcP,Mean_beat_Slope_until_50,Mean_beat_Slope_until_70
75,121.212954302416,112.194764085633,5.8351027935265,2.18925686995904,4.1924194680378,7.28957580666392,4.45302541877383,2.99576142947067,2.53917547979659,9.21231447124916,6.68018822887618,4.12317140712179,22.5454755419576,28.5576023531464,24.0485072447549,21.0424438391605,15.0303170279718,33.0666974615379,30.0606340559435,25.551538947552,0.339845766119229,0.501385534978094,0.400552426561191,13.8298105229661,15.2952781448984
76,102.275354128104,99.8262467645283,6.20388778362051,2.1491892500983,2.20973126131943,10.5165136023977,7.18287002686659,4.21757288102209,1.45230248538215,6.82025621494003,3.85368773044533,2.10291585340295,12.2455368178766,40.4102714989928,31.8383957264792,25.7156273175409,8.57187577251362,30.6138420446915,24.4910736357532,18.3683052268149,0.321925791602774,0.489956058076517,0.479527201727327,14.8897595046533,16.6723686663698
77,105.894837323777,103.307131419984,3.61567394989061,1.62199261715532,3.48542704907122,9.55477823755779,5.98774510153186,3.01337788211948,2.88134296180707,7.48155379649308,4.60934829679054,2.39954293530491,19.4077942784517,42.6971474125938,36.2278826531099,27.1709119898324,16.8200883746582,36.2278826531099,24.5832060860389,15.5262354227614,0.303981956431969,0.490924108326383,0.473740460955257,14.6580899861193,15.6597317692308
78,96.9255109158417,97.9673600683045,3.88947338872917,1.50691136195633,3.50980334952659,10.9734356382835,7.16467908126148,4.71623457180051,3.25489548738335,7.23546847046234,4.49365898520421,2.62179534916766,19.7951338967929,36.4647203361974,32.2973237263463,29.171776268958,18.7532847443301,29.171776268958,23.962530506644,17.7114355918673,0.344401210017194,0.455555788762291,0.437018707581056,15.1919323398773,16.2486673943059
79,83.7091389481675,80.3326345943864,6.61977643568203,2.60655559472172,3.1844672638392,9.14701339376095,5.77726850522293,3.60148650440872,2.98995089633962,7.92238598096074,5.19232601576024,3.19544188107223,16.8825217689056,33.7650435378112,28.1375362815093,24.7610319277282,14.6315188663849,31.5140406352905,28.1375362815093,23.6355304764678,0.345024561786771,0.500062355885548,0.489877237645934,13.4272248105553,15.1955481118317
80,88.2134311268464,77.7996698048901,7.06606263387416,2.91042116045446,4.50973020611126,10.445673319914,7.30051231980775,4.85602276611296,2.75874998605395,10.3833618368621,6.62104688932546,4.04940889270969,22.1292428091572,39.0516049573362,33.8447242963581,24.7326831396463,14.31892181769,36.4481646268471,31.241283965869,27.3361234701354,0.393015452639511,0.494519097278686,0.415799093245629,15.9726123914729,18.0763425544186
81,84.2576758683531,76.6184835144293,6.71114616963295,2.87350085728124,3.42090902037718,9.44959833475626,6.13762477581079,3.33587172775783,2.25415176174442,9.82321881531103,6.02512269944574,4.19056921365566,17.8247821591555,35.649564318311,29.2835706900412,22.9175770617714,11.4587885308857,34.3763655926571,29.2835706900412,25.4639745130793,0.291207014782374,0.487763020863067,0.400024109209309,13.5238861410143,15.51443052952
82,85.5062363993065,76.6124800608679,7.19716282349596,2.85071301758148,3.7616170600351,8.72118486440098,6.05380846801715,3.44129610976353,2.24217809005615,9.42256132200668,6.44854351205461,4.14098962691195,19.0580492966541,34.3044887339774,29.2223422548696,21.599122536208,11.4348295779925,35.5750253537543,30.4928788746466,25.4107323955388,0.309164466560628,0.483505138383827,0.380496204452104,15.6532282089097,17.5951813235618
83,102.406194479093,101.124313934838,2.71865541062278,1.16546920342825,2.13570782220599,8.12412570399034,5.1583818098747,3.35713425735527,1.83087132000033,6.05124941500804,4.24270553729638,2.50267344729588,11.5369248982994,33.3288941506428,28.2013719736208,23.0738497965989,10.2550443540439,24.3557303408543,20.5100887080878,16.6644470753214,0.368758521518688,0.60395847062857,0.441358759448795,8.10851065654899,9.71404380605381
84,97.8710546730268,94.6599783802492,2.63278191657175,1.26755008263155,2.88577753738664,10.3176447181064,7.38385019829549,4.92599869484313,2.35409259691632,8.99148791689767,6.45113712687835,3.67506996533888,14.4498433174992,31.3079938545817,27.2941484886096,24.083072195832,12.041536097916,29.7024557081929,27.2941484886097,24.083072195832,0.307425764219649,0.554337681781068,0.529953832193993,12.7051568800403,14.2758267597087
